#Variables:
#rsds_CCSM4_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2M_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2G_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_HadGEM2-CC365_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_MIROC5_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_NorESM1-M_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_rsds_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,rsds_CCSM4_rcp45(Wm-2),rsds_GFDL-ESM2M_rcp45(Wm-2),rsds_GFDL-ESM2G_rcp45(Wm-2),rsds_HadGEM2-CC365_rcp45(Wm-2),rsds_MIROC5_rcp45(Wm-2),rsds_NorESM1-M_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2)"
""
yyyy-mm-dd,rsds_CCSM4_rcp45(Wm-2),rsds_GFDL-ESM2M_rcp45(Wm-2),rsds_GFDL-ESM2G_rcp45(Wm-2),rsds_HadGEM2-CC365_rcp45(Wm-2),rsds_MIROC5_rcp45(Wm-2),rsds_NorESM1-M_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2)
2006-01-30,119.551483,93.524910,74.531830,74.235283,88.581482,122.844452,94.120575,94.120575,94.120575,94.120575
2006-01-31,104.178810,91.893616,101.936966,100.047081,45.029182,129.445053,124.007675,124.007675,124.007675,124.007675
2006-02-01,92.199814,129.985794,112.105148,109.714928,125.923744,129.564224,100.687706,100.687706,100.687706,100.687706
2006-02-02,86.852180,80.765762,106.814201,89.477768,120.397057,119.778641,120.962540,120.962540,120.962540,120.962540
2006-02-03,101.392769,56.443615,90.947250,95.282043,48.447224,104.927559,85.544151,85.544151,85.544151,85.544151
2006-02-04,92.031113,41.830364,114.464668,100.684692,78.993393,133.612778,60.972904,60.972904,60.972904,60.972904
2006-02-05,111.427574,99.100266,89.044800,93.783638,99.824821,129.421173,104.734291,104.734291,104.734291,104.734291
2006-02-06,106.303246,56.984577,94.151985,99.190544,110.914673,82.933510,102.064980,102.064980,102.064980,102.064980
2006-02-07,110.063919,95.199814,110.174431,115.027435,121.107613,91.319168,118.517609,118.517609,118.517609,118.517609
2006-02-08,131.480774,101.402809,117.895096,128.861145,101.598946,134.423416,123.858673,123.858673,123.858673,123.858673
2006-02-09,99.000488,126.702896,126.025833,132.052063,124.640106,85.285713,129.158997,129.158997,129.158997,129.158997
2006-02-10,120.165222,119.974968,75.467514,114.332703,87.172295,84.851433,142.172012,142.172012,142.172012,142.172012
2006-02-11,126.288216,121.692291,76.373146,62.652405,92.049042,98.970894,119.535553,119.535553,119.535553,119.535553
2006-02-12,116.586525,99.716270,94.738327,42.735527,87.688713,74.053802,58.246059,58.246059,58.246059,58.246059
2006-02-13,121.389870,106.392441,147.487671,42.735527,120.255547,59.569588,61.258301,61.258301,61.258301,61.258301
2006-02-14,139.527573,96.111992,127.217957,90.335251,92.039024,61.039013,117.574600,117.574600,117.574600,117.574600
2006-02-15,158.143677,129.602570,146.967361,150.094559,120.321266,87.903145,102.481529,102.481529,102.481529,102.481529
2006-02-16,111.108055,106.388489,119.470100,139.398102,130.236954,108.171165,71.310211,71.310211,71.310211,71.310211
2006-02-17,87.844795,93.371849,107.199684,134.829300,140.879684,122.001175,110.566597,110.566597,110.566597,110.566597
2006-02-18,111.206505,89.198044,125.483658,154.251068,127.078629,125.034653,118.723251,118.723251,118.723251,118.723251
2006-02-19,116.699654,90.280396,125.083427,117.814713,116.680649,132.655991,132.287140,132.287140,132.287140,132.287140
2006-02-20,126.468117,133.998215,145.024399,116.856339,133.769775,81.940628,108.760742,108.760742,108.760742,108.760742
2006-02-21,106.766670,113.530403,104.358879,155.003021,123.923950,79.136368,87.231262,87.231262,87.231262,87.231262
2006-02-22,150.770432,101.823685,94.077713,134.840668,152.840332,136.850647,120.976257,120.976257,120.976257,120.976257
2006-02-23,191.932220,124.367882,116.294624,106.190712,142.623352,148.556229,89.443710,89.443710,89.443710,89.443710
2006-02-24,191.884552,104.795242,66.653854,131.642044,86.761620,117.060684,133.112915,133.112915,133.112915,133.112915
2006-02-25,188.296082,120.502060,62.561012,164.605133,116.519592,119.130753,153.369583,153.369583,153.369583,153.369583
2006-02-26,162.358688,160.833923,181.799408,130.161377,142.821793,135.529556,116.965355,116.965355,116.965355,116.965355
2006-02-27,191.387115,180.658432,134.239822,96.693275,147.714600,133.081360,129.306549,129.306549,129.306549,129.306549
