#Variables:
#tasmax_CCSM4_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmax_CCSM4_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K)
2006-01-28,275.702820,272.933899,281.164368,277.323395,276.637726,274.571106,286.249084,286.249084,286.249084,286.249084
2006-01-29,278.132568,273.280151,283.281830,277.897125,276.843506,276.929321,285.809448,285.809448,285.809448,285.809448
2006-01-30,284.483704,273.452087,282.024567,278.344299,278.267822,275.603149,273.992157,273.992157,273.992157,273.992157
2006-01-31,285.029022,275.048096,277.309113,283.615631,279.900452,273.112000,272.130066,272.130066,272.130066,272.130066
2006-02-01,285.189972,276.214600,280.630035,286.136261,282.840546,274.025146,274.978851,274.978851,274.978851,274.978851
2006-02-02,284.532166,275.760376,280.316620,287.565430,284.061066,275.726501,276.412750,276.412750,276.412750,276.412750
2006-02-03,283.334686,274.360687,279.564758,286.118408,285.993073,277.892578,279.018311,279.018311,279.018311,279.018311
2006-02-04,282.776001,277.534302,278.257172,280.626953,284.999786,278.118317,282.084717,282.084717,282.084717,282.084717
2006-02-05,288.125153,278.281647,278.697571,281.138489,286.794952,278.434479,281.933563,281.933563,281.933563,281.933563
2006-02-06,288.633606,277.707153,281.629791,283.249603,286.213837,278.044220,278.742096,278.742096,278.742096,278.742096
2006-02-07,288.780914,277.302673,281.759735,281.180298,280.886749,279.590149,282.886627,282.886627,282.886627,282.886627
2006-02-08,288.197571,277.326782,274.164948,282.180939,283.559784,279.835419,285.064240,285.064240,285.064240,285.064240
2006-02-09,287.988281,276.672485,265.139984,281.866272,284.060394,280.029755,288.341583,288.341583,288.341583,288.341583
2006-02-10,288.425629,277.258453,270.990479,280.124908,287.004425,283.614960,289.434967,289.434967,289.434967,289.434967
2006-02-11,288.093719,280.236328,273.599701,283.090729,286.540558,284.700928,288.664215,288.664215,288.664215,288.664215
2006-02-12,284.979156,279.014465,274.528961,282.986816,283.987000,282.725037,287.506287,287.506287,287.506287,287.506287
2006-02-13,283.375061,286.573822,276.927887,284.440002,280.924347,282.898132,286.075531,286.075531,286.075531,286.075531
2006-02-14,279.699127,287.450165,279.924530,289.539703,286.110352,277.760162,282.084717,282.084717,282.084717,282.084717
2006-02-15,279.920746,280.704559,280.234406,290.981812,286.508270,279.920349,281.286438,281.286438,281.286438,281.286438
2006-02-16,279.664612,283.371948,278.800873,288.380402,287.993866,281.735840,281.486481,281.486481,281.486481,281.486481
2006-02-17,278.291962,286.607819,282.431976,284.993958,289.114502,278.155334,282.220642,282.220642,282.220642,282.220642
2006-02-18,279.260040,287.667694,287.916992,280.847595,288.313202,278.047302,283.451965,283.451965,283.451965,283.451965
2006-02-19,286.787018,287.875397,290.016724,279.232544,287.783936,278.987854,285.663879,285.663879,285.663879,285.663879
2006-02-20,288.244232,290.255249,290.325714,280.888885,288.965302,279.532623,286.976593,286.976593,286.976593,286.976593
2006-02-21,286.550568,290.505707,290.007904,286.960846,289.684723,278.648590,288.939514,288.939514,288.939514,288.939514
2006-02-22,285.049347,292.419067,289.537537,289.908875,286.023315,280.579681,288.656952,288.656952,288.656952,288.656952
2006-02-23,286.910065,292.351837,290.692535,290.571045,285.779602,280.758423,280.119629,280.119629,280.119629,280.119629
2006-02-24,287.876801,292.742920,289.797821,290.812683,284.789734,282.236542,280.884583,280.884583,280.884583,280.884583
2006-02-25,285.175751,294.872772,279.573608,290.038757,284.448029,282.350494,284.817047,284.817047,284.817047,284.817047
2006-02-26,280.806061,297.296600,286.241516,290.575928,281.099274,283.249939,284.639130,284.639130,284.639130,284.639130
2006-02-27,281.877563,296.751953,288.947388,294.852112,283.539337,282.207642,281.683197,281.683197,281.683197,281.683197
2006-02-28,280.831024,292.170776,286.546234,295.650604,283.152893,282.261017,286.994659,286.994659,286.994659,286.994659
2006-03-01,280.028046,295.929382,283.284912,295.138214,286.304352,281.876892,286.616089,286.616089,286.616089,286.616089
2006-03-02,284.031342,299.879974,291.027954,294.216278,285.367035,282.873505,287.282562,287.282562,287.282562,287.282562
2006-03-03,284.634186,298.180908,291.246521,293.402802,280.209564,285.952850,282.876068,282.876068,282.876068,282.876068
2006-03-04,280.111603,291.155060,288.263672,292.824310,286.379395,287.691528,282.431732,282.431732,282.431732,282.431732
2006-03-05,284.127655,291.210754,280.561768,291.161346,286.650970,288.791809,284.378479,284.378479,284.378479,284.378479
