#Variables:
#rsds_CCSM4_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2M_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2G_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_HadGEM2-CC365_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_MIROC5_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_NorESM1-M_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_rsds_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,rsds_CCSM4_rcp85(Wm-2),rsds_GFDL-ESM2M_rcp85(Wm-2),rsds_GFDL-ESM2G_rcp85(Wm-2),rsds_HadGEM2-CC365_rcp85(Wm-2),rsds_MIROC5_rcp85(Wm-2),rsds_NorESM1-M_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2)"
""
yyyy-mm-dd,rsds_CCSM4_rcp85(Wm-2),rsds_GFDL-ESM2M_rcp85(Wm-2),rsds_GFDL-ESM2G_rcp85(Wm-2),rsds_HadGEM2-CC365_rcp85(Wm-2),rsds_MIROC5_rcp85(Wm-2),rsds_NorESM1-M_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2)
2006-01-30,91.037308,109.099045,118.196083,90.833244,59.762650,120.011810,92.904884,92.904884,92.904884,92.904884
2006-01-31,82.148720,122.025017,125.493652,94.175819,91.780510,134.568741,102.587799,102.587799,102.587799,102.587799
2006-02-01,57.606682,88.814987,90.152039,113.875877,84.165138,131.330353,104.114693,104.114693,104.114693,104.114693
2006-02-02,75.127754,120.934425,112.977509,125.291039,61.359249,115.071793,52.317970,52.317970,52.317970,52.317970
2006-02-03,84.917580,125.130585,123.690964,127.015511,87.466621,137.125671,100.877747,100.877747,100.877747,100.877747
2006-02-04,79.691483,94.694565,133.791183,129.382050,58.350445,103.156128,60.911198,60.911198,60.911198,60.911198
2006-02-05,121.368538,85.391624,111.314163,124.208679,53.342751,98.688919,93.933113,93.933113,93.933113,93.933113
2006-02-06,125.989647,82.854774,115.648331,125.824066,89.563606,64.194077,81.382347,81.382347,81.382347,81.382347
2006-02-07,124.288483,85.773392,87.646614,131.604523,111.976967,46.136547,113.570404,113.570404,113.570404,113.570404
2006-02-08,105.684113,73.765686,109.288597,133.151474,45.113255,48.499329,116.615982,116.615982,116.615982,116.615982
2006-02-09,86.764290,85.303055,127.563461,135.021164,102.382240,50.205902,136.654922,136.654922,136.654922,136.654922
2006-02-10,120.661850,90.880089,134.086548,140.870712,69.894836,75.681068,136.468491,136.468491,136.468491,136.468491
2006-02-11,83.083908,81.239647,96.143967,140.127640,48.689030,62.795170,124.910042,124.910042,124.910042,124.910042
2006-02-12,64.589752,112.209267,125.539787,109.489281,130.868317,97.313660,107.223831,107.223831,107.223831,107.223831
2006-02-13,81.647369,56.790680,123.633316,87.923660,117.622383,85.729782,108.607307,108.607307,108.607307,108.607307
2006-02-14,92.394356,112.041649,138.703812,128.221207,54.352882,54.144043,108.893623,108.893623,108.893623,108.893623
2006-02-15,111.510132,95.456551,129.833328,143.224777,74.253075,80.124649,122.017868,122.017868,122.017868,122.017868
2006-02-16,123.176086,97.828896,155.869751,134.554840,111.222160,143.407486,115.614761,115.614761,115.614761,115.614761
2006-02-17,95.389755,68.646996,157.514877,120.778214,87.276451,153.270416,121.952972,121.952972,121.952972,121.952972
2006-02-18,64.231033,69.530563,164.235672,117.018257,88.365288,87.203819,127.244499,127.244499,127.244499,127.244499
2006-02-19,50.681583,55.460072,155.210495,107.005463,95.929977,129.631012,136.521912,136.521912,136.521912,136.521912
2006-02-20,58.822983,98.394173,119.627625,160.314102,133.921524,129.951660,173.643250,173.643250,173.643250,173.643250
2006-02-21,47.933075,98.502258,133.385117,165.164124,96.557610,135.549194,185.228302,185.228302,185.228302,185.228302
2006-02-22,46.671474,140.842529,114.906639,165.383057,69.686615,111.198235,102.829559,102.829559,102.829559,102.829559
2006-02-23,59.050732,148.048767,114.913063,152.214645,113.852745,106.841515,136.778488,136.778488,136.778488,136.778488
2006-02-24,122.411407,116.588821,116.813965,123.065849,164.001175,131.346085,115.299217,115.299217,115.299217,115.299217
2006-02-25,115.078003,171.506393,159.395447,123.795517,113.092255,127.886734,134.963104,134.963104,134.963104,134.963104
2006-02-26,105.793915,169.631805,146.420547,175.079819,143.109650,124.621574,115.925140,115.925140,115.925140,115.925140
2006-02-27,103.818481,98.835770,118.531723,178.995087,181.872543,104.662460,144.351379,144.351379,144.351379,144.351379
