#Variables:
#tasmax_CCSM4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_NorESM1-M_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K)"
""
yyyy-mm-dd,tasmax_CCSM4_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_NorESM1-M_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K)
2006-01-28,277.705383,278.518036,269.981873,286.439911,279.175751,280.382477,290.931366,290.931366,290.931366,290.931366
2006-01-29,275.755554,279.875305,275.093292,289.831787,280.936462,279.551727,288.944977,288.944977,288.944977,288.944977
2006-01-30,275.283203,278.624207,278.111633,291.246704,280.142059,279.709778,284.871704,284.871704,284.871704,284.871704
2006-01-31,277.987701,276.969574,277.798218,288.751923,281.186127,279.880432,285.263336,285.263336,285.263336,285.263336
2006-02-01,276.385651,274.611511,277.785248,288.689362,280.007172,282.585968,285.618164,285.618164,285.618164,285.618164
2006-02-02,276.805786,278.045319,277.528748,288.697632,277.529572,282.379852,287.767609,287.767609,287.767609,287.767609
2006-02-03,277.605408,281.700958,277.527069,287.609314,282.442444,281.830261,287.741119,287.741119,287.741119,287.741119
2006-02-04,273.901337,278.262817,280.208832,288.534698,283.969849,274.543854,285.435577,285.435577,285.435577,285.435577
2006-02-05,272.944000,281.958679,279.796051,288.210724,285.799774,275.247375,279.891602,279.891602,279.891602,279.891602
2006-02-06,271.764008,287.061279,279.311676,288.318604,288.445923,276.064789,280.039124,280.039124,280.039124,280.039124
2006-02-07,268.048370,286.363739,275.574707,290.628113,288.557190,276.675720,281.311859,281.311859,281.311859,281.311859
2006-02-08,261.396210,278.661285,277.918488,293.469543,287.777374,275.424042,281.860809,281.860809,281.860809,281.860809
2006-02-09,275.229767,278.211853,278.285889,287.123657,288.454163,276.859222,283.294189,283.294189,283.294189,283.294189
2006-02-10,275.511444,280.937927,284.804230,281.338501,288.984711,279.005951,283.914856,283.914856,283.914856,283.914856
2006-02-11,274.785889,283.373505,287.850250,285.254089,289.110840,279.323914,283.281738,283.281738,283.281738,283.281738
2006-02-12,272.787720,282.952179,282.957367,282.797028,287.180054,281.025787,279.463287,279.463287,279.463287,279.463287
2006-02-13,273.245148,282.388733,271.562134,281.068756,285.907135,283.572418,277.138702,277.138702,277.138702,277.138702
2006-02-14,273.951477,280.848694,277.995300,287.767822,285.620605,285.020782,277.081879,277.081879,277.081879,277.081879
2006-02-15,276.421509,281.448761,281.885498,294.624451,288.538177,288.497009,277.748993,277.748993,277.748993,277.748993
2006-02-16,276.966919,281.165161,285.420349,294.709778,290.268066,288.650604,281.692688,281.692688,281.692688,281.692688
2006-02-17,278.535004,283.623108,285.165771,286.287537,293.721008,289.728760,281.658203,281.658203,281.658203,281.658203
2006-02-18,278.762421,285.247681,280.035553,277.305603,293.530243,291.957764,279.038544,279.038544,279.038544,279.038544
2006-02-19,278.521545,287.814514,276.552338,278.557068,293.668427,292.778992,277.841431,277.841431,277.841431,277.841431
2006-02-20,279.471741,292.248474,275.815918,280.435425,291.433777,291.170013,281.651123,281.651123,281.651123,281.651123
2006-02-21,279.731750,293.094208,278.878357,283.711090,292.877289,288.491943,283.105499,283.105499,283.105499,283.105499
2006-02-22,278.841919,291.496704,283.062469,283.938782,291.259583,292.592224,285.001617,285.001617,285.001617,285.001617
2006-02-23,275.882446,283.778107,284.656158,284.362000,292.447113,291.761597,285.179291,285.179291,285.179291,285.179291
