#Variables:
#pr_CCSM4_rcp85(mm):Precipitation
#pr_GFDL-ESM2M_rcp85(mm):Precipitation
#pr_GFDL-ESM2G_rcp85(mm):Precipitation
#pr_HadGEM2-CC365_rcp85(mm):Precipitation
#pr_MIROC5_rcp85(mm):Precipitation
#pr_NorESM1-M_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_pr_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_CCSM4_rcp85(mm),pr_GFDL-ESM2M_rcp85(mm),pr_GFDL-ESM2G_rcp85(mm),pr_HadGEM2-CC365_rcp85(mm),pr_MIROC5_rcp85(mm),pr_NorESM1-M_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm)"
""
yyyy-mm-dd,pr_CCSM4_rcp85(mm),pr_GFDL-ESM2M_rcp85(mm),pr_GFDL-ESM2G_rcp85(mm),pr_HadGEM2-CC365_rcp85(mm),pr_MIROC5_rcp85(mm),pr_NorESM1-M_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm)
2006-02-01,0.000000,0.000000,0.000000,0.000000,0.283661,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-02,0.000000,0.000000,0.000000,0.000000,0.530476,0.000000,0.811239,0.811239,0.811239,0.811239
2006-02-03,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-04,0.000000,0.000000,0.000000,0.000000,3.649306,0.000000,2.355021,2.355021,2.355021,2.355021
2006-02-05,0.000000,0.000000,0.000000,0.000000,2.930650,0.000000,0.759246,0.759246,0.759246,0.759246
2006-02-06,0.000000,3.683466,0.000000,0.000000,1.679624,2.565979,0.000000,0.000000,0.000000,0.000000
2006-02-07,0.000000,0.000000,0.000000,0.000000,0.000000,3.566114,0.000000,0.000000,0.000000,0.000000
2006-02-08,0.000000,0.000000,0.000000,0.000000,1.353740,7.967752,0.000000,0.000000,0.000000,0.000000
2006-02-09,0.000000,0.000000,0.364103,0.000000,0.000000,6.173701,0.000000,0.000000,0.000000,0.000000
2006-02-10,0.400471,0.000000,0.000000,0.000000,1.840533,20.975203,0.000000,0.000000,0.000000,0.000000
2006-02-11,4.896382,3.129713,0.000000,0.000000,3.296799,2.716481,0.000000,0.000000,0.000000,0.000000
2006-02-12,0.371320,1.061397,0.000000,0.000000,0.000000,7.218741,0.000000,0.000000,0.000000,0.000000
2006-02-13,1.189843,3.629169,0.000000,0.000000,0.000000,0.710388,0.000000,0.000000,0.000000,0.000000
2006-02-14,0.000000,0.854427,0.000000,0.000000,0.000000,4.731245,0.000000,0.000000,0.000000,0.000000
2006-02-15,0.000000,0.000000,0.000000,0.000000,0.293476,7.217052,0.000000,0.000000,0.000000,0.000000
2006-02-16,0.000000,0.884561,0.000000,0.000000,0.000000,2.442018,0.000000,0.000000,0.000000,0.000000
2006-02-17,0.424885,7.789676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-18,4.760190,1.310887,0.000000,0.000000,5.134667,6.308205,0.000000,0.000000,0.000000,0.000000
2006-02-19,9.880550,8.594593,0.000000,0.000000,3.631281,6.427386,0.000000,0.000000,0.000000,0.000000
2006-02-20,3.727136,1.494485,0.000000,0.000000,0.000000,0.773386,0.000000,0.000000,0.000000,0.000000
2006-02-21,2.061609,0.000000,0.000000,0.000000,0.558865,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-22,3.285878,0.000000,0.000000,0.000000,5.536885,0.000000,0.761122,0.761122,0.761122,0.761122
2006-02-23,2.966841,0.000000,0.000000,0.000000,1.295466,3.592407,0.000000,0.000000,0.000000,0.000000
2006-02-24,3.738020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
